EmployeeId,CommuteDistance,DegreeCompleted,DegreeField,Department,EmploymentEndDate,EmploymentEndReason,EmploymentStartDate,Gender,JobLevel,MaritalStatus,NumPreviousCompanies,NumYearsWorked,OvertimeDays,OvertimeHours,Salary,TrainingsAttended,TravelFrequency,WeeklyHoursBudgeted,YearOfBirth
1001,10,Master,Business,Accounting,,,12/12/14,Female,4,Married,2,13,1,2,96800,0,None,40,1980
1002,7,Master,Other,Other,,,10/10/17,Female,2,Single,2,12,1,5,60400,1,Monthly,40,1986
1003,9,Bachelor,Business,Other,3/8/19,Retired,7/23/14,Male,2,Married,,5,4,15,49100,2,No travel,40,1992
1004,8,Master,Other,Marketing,,,5/8/14,Male,2,Single,1,15,1,3,47100,0,No travel,40,1979
1005,7,Master,Computer Science,Marketing,,,12/24/13,Male,4,Single,2,16,4,12,58700,1,Monthly,40,1979
1006,9,Bachelor,Marketing,Other,,,3/17/15,Male,2,Married,5,28,3,8,96900,1,Monthly,40,1969
1007,8,Bachelor,Business,Other,,,11/25/11,Female,2,Single,1,21,5,22,78800,1,None,40,1974
1008,14,Bachelor,Business,Sales,6/21/19,Fired,10/3/13,Female,2,Married,2,24,1,3,49200,1,None,40,1973
1009,15,Master,Business,Other,3/15/19,Retired,1/10/19,Female,3,Married,,1,1,4,48000,1,Weekly,40,1994
1010,7,Master,Business,Other,10/2/19,Went to another company,6/18/15,Male,1,Married,1,10,8,13,51700,4,Weekly,40,1988
1011,15,Bachelor,Marketing,Marketing,,,8/16/15,Male,1,Married,1,8,1,5,34800,0,None,40,1990
1012,20,Master,Other,Sales,6/18/19,Went to another company,11/26/14,Male,3,Single,3,31,2,6,66600,1,No travel,40,1965
1013,9,Associate,Finance,Other,,,12/7/13,Female,3,Married,2,20,3,12,84100,2,Monthly,40,1976
1014,11,Bachelor,Business,Other,,,7/28/17,Female,3,Married,2,18,10,15,79300,2,None,40,1980
1015,3,Below College,,Marketing,,,11/8/18,Male,1,Divorced,2,14,8,16,41600,1,No travel,40,1980
1016,3,Bachelor,Business,Marketing,,,8/8/16,Male,2,Single,4,19,3,11,53000,2,None,40,1979
1017,10,Bachelor,Finance,Other,10/24/19,Fired,8/26/19,Female,1,Single,0,1,1,5,39700,1,None,40,1995
1018,3,Master,Technical Degree,Other,3/6/19,Retired,9/26/91,Female,4,Single,,30,1,5,124400,3,Monthly,40,1967
1019,10,Master,Other,Other,10/1/19,Retired,6/29/19,Male,3,Married,,3,10,19,50900,3,monthly,40,1991
1020,10,Master,Marketing,Other,,,1/16/15,Male,1,Married,2,15,3,4,60000,1,None,40,1981
1021,15,Master,Business,Marketing,7/26/19,Fired,6/11/19,Male,3,Married,2,8,1,3,42200,2,No travel,40,1989
1022,15,Bachelor,Other,Other,2/12/19,Retired,2/8/02,Female,4,Married,,20,5,6,92600,2,Monthly,40,1973
1023,13,Master,Marketing,Accounting,,,12/21/17,Female,2,Single,3,19,2,8,95500,1,None,40,1974
1024,9,Master,Business,Other,,,3/9/12,Male,3,Married,1,18,2,3,79300,1,Less than Monthly,40,1980
1025,13,Master,Other,Other,,,2/4/16,Female,2,Single,1,8,1,3,53600,1,Monthly,40,1990
1026,11,Associate,Finance,Accounting,,,8/31/10,Female,2,Married,0,10,4,16,73200,1,Weekly,40,1984
1027,6,Bachelor,Computer Science,Other,7/2/19,Went to another company,1/17/12,Female,3,Married,3,26,5,6,100500,0,None,40,1968
