EmployeeId,QuestionNum,QuestionText,Response
1001,Q1,How satisfied are you with your job?,Very Satisfied
1001,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1001,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1001,Q4,How would you rate you work/life balance?,Excellent
1002,Q1,How satisfied are you with your job?,Very Satisfied
1002,Q2,How satisfied are you with the company?,Somewhat Satisfied
1002,Q3,How satisfied are you with your manager?,Very Satisfied
1002,Q4,How would you rate you work/life balance?,Excellent
E1003,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1003,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1003,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1003,Q4,How would you rate you work/life balance?,Good
e1004,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
e1004,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1004,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
e1004,Q4,How would you rate you work/life balance?,Poor
e1005,Q1,How satisfied are you with your job?,Very Satisfied
e1005,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1005,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1005,Q4,How would you rate you work/life balance?,Fair
1006,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1006,Q2,How satisfied are you with the company?,Very Unsatisfied
1006,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
1006,Q4,How would you rate you work/life balance?,Very Poor
1007,Q1,How satisfied are you with your job?,Very Unsatisfied
1007,Q2,How satisfied are you with the company?,Very Unsatisfied
1007,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
1007,Q4,How would you rate you work/life balance?,Very Poor
1008,Q1,How satisfied are you with your job?,Very Satisfied
1008,Q2,How satisfied are you with the company?,Very Satisfied
1008,Q3,How satisfied are you with your manager?,Very Satisfied
1008,Q4,How would you rate you work/life balance?,Good
1009,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1009,Q2,How satisfied are you with the company?,Very Satisfied
1009,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1009,Q4,How would you rate you work/life balance?,Good
1010,Q1,How satisfied are you with your job?,Somewhat Satisfied
1010,Q2,How satisfied are you with the company?,Somewhat Satisfied
1010,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
1010,Q4,How would you rate you work/life balance?,Poor
1011,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1011,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
1011,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
1011,Q4,How would you rate you work/life balance?,Good
1012,Q1,How satisfied are you with your job?,Very Satisfied
1012,Q2,How satisfied are you with the company?,Very Satisfied
1012,Q3,How satisfied are you with your manager?,Very Satisfied
1012,Q4,How would you rate you work/life balance?,Excellent
e1013,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
e1013,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1013,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
e1013,Q4,How would you rate you work/life balance?,Poor
E1014,Q1,How satisfied are you with your job?,Very Satisfied
E1014,Q2,How satisfied are you with the company?,Very Satisfied
E1014,Q3,How satisfied are you with your manager?,Very Satisfied
E1014,Q4,How would you rate you work/life balance?,Good
e1015,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1015,Q2,How satisfied are you with the company?,Very Satisfied
e1015,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1015,Q4,How would you rate you work/life balance?,Fair
1016,Q1,How satisfied are you with your job?,Very Satisfied
1016,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1016,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1016,Q4,How would you rate you work/life balance?,Excellent
1017,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
1017,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
1017,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
1017,Q4,How would you rate you work/life balance?,Fair
E1018,Q1,How satisfied are you with your job?,Very Satisfied
E1018,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1018,Q3,How satisfied are you with your manager?,Very Satisfied
E1018,Q4,How would you rate you work/life balance?,Excellent
e1019,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1019,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1019,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1019,Q4,How would you rate you work/life balance?,Good
E1020,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
E1020,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1020,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
E1020,Q4,How would you rate you work/life balance?,Good
e1021,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1021,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1021,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
e1021,Q4,How would you rate you work/life balance?,Good
E1022,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1022,Q2,How satisfied are you with the company?,Very Satisfied
E1022,Q3,How satisfied are you with your manager?,Very Satisfied
E1022,Q4,How would you rate you work/life balance?,Excellent
1023,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1023,Q2,How satisfied are you with the company?,Somewhat Satisfied
